"targa","data_immatricolazione","propietario","modello","allestimento"
"AS069DA","2010-05-22 22:10:25","LLYYHJ28P49B157X","Lodgy","Sport"
"QE697NQ","2010-05-22 22:10:25","NZVDZQ91M61M211F","Lodgy","Sport"
"UC448QQ","2010-05-22 22:10:25","QQTDSH54P63L303M","Lodgy","Sport"
"DO779XK","2010-05-22 22:10:25","ZVFRXE51C68I030E","Lodgy","Sport"
"IE717MM","2010-05-22 22:10:25","ZBRPQL35S52F939S","Lodgy","Sport"
"UK087CZ","2010-05-22 22:10:25","QMTQMJ72S61M204I","Lodgy","Sport"
"PS277VA","2010-05-22 22:10:25","QMTQMJ72S61M204I","Lodgy","Sport"
"UX213MR","2010-05-22 22:10:25","GZMVGD91H61E684W","Lodgy","Sport"
"HX513LP","2010-05-22 22:10:25","QAUDCO74E20B457F","Lodgy","Sport"
"BU936GY","2010-05-22 22:10:25","DTBFGB99B22A760E","Lodgy","Sport"
"AF523RR","2010-05-22 22:10:25","KBWCYS71M09B985N","Lodgy","Sport"
"HL004VS","2010-05-22 22:10:25","HCYBGQ39M54F035P","Lodgy","Sport"
"YR924MX","2010-05-22 22:10:25","DHAMJU58C68H445W","Lodgy","Sport"
"UM893VW","2010-05-22 22:10:25","QMTQMJ72S61M204I","Lodgy","Sport"
"WO503TC","2010-05-22 22:10:25","VFKNDG91H65C623X","Lodgy","Sport"
"MP913KG","2010-05-22 22:10:25","FGPKTM32L25F250Y","Lodgy","Sport"
"WX445CH","2010-05-22 22:10:25","KXFVCR98S55D168M","Lodgy","Sport"
"CQ636NT","2010-05-22 22:10:25","FQBLTT43T45L271J","Lodgy","Sport"
"OO569IY","2010-05-22 22:10:25","GZMVGD91H61E684W","Lodgy","Sport"
"AO903CZ","2010-05-22 22:10:25","PDHHXR28T43A184X","Lodgy","Sport"
"VL126CS","2010-05-22 22:10:25","SBCGZR53B08A320F","Lodgy","Sport"
"BX400FL","2010-05-22 22:10:25","LLYYHJ28P49B157X","Lodgy","Sport"
"WW664IB","2010-05-22 22:10:25","PPJTKR52S49G297K","Lodgy","Sport"
"UH615QG","2010-05-22 22:10:25","KBWCYS71M09B985N","Lodgy","Sport"
"VP980HO","2010-05-22 22:10:25","HNZVVF28C65G028Y","Lodgy","Sport"
"BZ950SJ","2010-05-22 22:10:25","NVNJPT84E20G913G","Lodgy","Sport"
"JP810HY","2010-05-22 22:10:25","GZMVGD91H61E684W","Lodgy","Sport"
"TB081ZC","2010-05-22 22:10:25","QMTQMJ72S61M204I","Lodgy","Sport"
"NN185OH","2010-05-22 22:10:25","SBCGZR53B08A320F","Lodgy","Sport"
"BA542KU","2010-05-22 22:10:25","LKDGXK54D05M153T","Lodgy","Sport"
"BG182EY","2010-05-22 22:10:25","BTQLHB34R61A975Q","Lodgy","Sport"
"NL500JJ","2010-05-22 22:10:25","LLYYHJ28P49B157X","Lodgy","Sport"
"EB173XX","2010-05-22 22:10:25","ZBRPQL35S52F939S","Lodgy","Sport"
"XP117VE","2010-05-22 22:10:25","BNFTNW47C31L775D","Lodgy","Sport"
"FV696KX","2010-05-22 22:10:25","FGPKTM32L25F250Y","Lodgy","Sport"
"XG926DV","2010-05-22 22:10:25","NZVDZQ91M61M211F","Lodgy","Sport"
"BW017WQ","2010-05-22 22:10:25","YRLSBX54D65Z345W","Lodgy","Sport"
"GB353CQ","2010-05-22 22:10:25","RZRKLC70H07L772S","Lodgy","Sport"
"YJ637NP","2010-05-22 22:10:25","RZRKLC70H07L772S","Lodgy","Sport"
"VS171HT","2010-05-22 22:10:25","RRNHCT55M24F944G","Lodgy","Sport"
"PK400SE","2010-05-22 22:10:25","XTDKVG59D28F605E","Lodgy","Sport"
"RY436JY","2010-05-22 22:10:25","QQTDSH54P63L303M","Lodgy","Sport"
"WC656CD","2010-05-22 22:10:25","DTBFGB99B22A760E","Lodgy","Sport"
"WG750ZV","2010-05-22 22:10:25","GYCJCG74P43E317Y","Lodgy","Sport"
"DM149GP","2010-05-22 22:10:25","DKHTMG49H24I896S","Lodgy","Sport"
"GB698WC","2010-05-22 22:10:25","PFXYBC33H43F924E","Lodgy","Sport"
"TI606KR","2010-05-22 22:10:25","BMPZVG79R45L487W","Lodgy","Sport"
"NQ630ER","2010-05-22 22:10:25","PPJTKR52S49G297K","Lodgy","Sport"
"GS648TD","2010-05-22 22:10:25","QQTDSH54P63L303M","Lodgy","Sport"
"RI875OB","2010-05-22 22:10:25","BTQLHB34R61A975Q","Lodgy","Sport"
"QV334CN","2010-05-22 22:10:25","QMTQMJ72S61M204I","Lodgy","Sport"
"BL018YP","2010-05-22 22:10:25","DTBFGB99B22A760E","Lodgy","Sport"
"YP553OG","2010-05-22 22:10:25","QMTQMJ72S61M204I","Lodgy","Sport"
"WJ051OR","2010-05-22 22:10:25","QAUDCO74E20B457F","Lodgy","Sport"
"HW936YD","2010-05-22 22:10:25","LLMSDV82R03B591I","Lodgy","Sport"
"PH200LT","2010-05-22 22:10:25","GYCJCG74P43E317Y","Lodgy","Sport"
"DE722ST","2010-05-22 22:10:25","TPLFHK94L23C596M","Lodgy","Sport"
"YV232YQ","2010-05-22 22:10:25","HSLMDN80P51B235Q","Lodgy","Sport"
"FP616AJ","2010-05-22 22:10:25","SBCGZR53B08A320F","Lodgy","Sport"
"SQ618OU","2010-05-22 22:10:25","DHAMJU58C68H445W","Lodgy","Sport"
"DR279GY","2010-05-22 22:10:25","FKWFNF92R22B522E","Lodgy","Sport"
"GR778SO","2010-05-22 22:10:25","SBCGZR53B08A320F","Lodgy","Sport"
"ED729GA","2010-05-22 22:10:25","MRRFPM58E29C803O","Lodgy","Sport"
"NQ297OJ","2010-05-22 22:10:25","QMTQMJ72S61M204I","Lodgy","Sport"
"EY526SU","2010-05-22 22:10:25","BMPZVG79R45L487W","Lodgy","Sport"
"OI960AB","2010-05-22 22:10:25","QMTQMJ72S61M204I","Lodgy","Sport"
"EQ632KC","2010-05-22 22:10:25","BMPZVG79R45L487W","Lodgy","Sport"
"II949KV","2010-05-22 22:10:25","YRLSBX54D65Z345W","Lodgy","Sport"
"FT933PM","2010-05-22 22:10:25","NZVDZQ91M61M211F","Lodgy","Sport"
"KV072ZJ","2010-05-22 22:10:25","VFKNDG91H65C623X","Lodgy","Sport"
"IR478QI","2010-05-22 22:10:25","PFXYBC33H43F924E","Lodgy","Sport"
"YJ326ND","2010-05-22 22:10:25","DTBFGB99B22A760E","Lodgy","Sport"
"VB490RC","2010-05-22 22:10:25","LKDGXK54D05M153T","Lodgy","Sport"
"XR474ZN","2010-05-22 22:10:25","TPLFHK94L23C596M","Lodgy","Sport"
"YI595AW","2010-05-22 22:10:25","DTBFGB99B22A760E","Lodgy","Sport"
"EF227PK","2010-05-22 22:10:25","PFXYBC33H43F924E","Lodgy","Sport"
"KM112ZJ","2010-05-22 22:10:25","BTQLHB34R61A975Q","Lodgy","Sport"
"NM446NI","2010-05-22 22:10:25","XTDKVG59D28F605E","Lodgy","Sport"
"JT091SV","2010-05-22 22:10:25","PPJTKR52S49G297K","Lodgy","Sport"
"QN562BD","2010-05-22 22:10:25","SBCGZR53B08A320F","Lodgy","Sport"
"QD302RC","2010-05-22 22:10:25","MRRFPM58E29C803O","Lodgy","Sport"
"YW506BG","2010-05-22 22:10:25","LKDGXK54D05M153T","Lodgy","Sport"
"GT600OU","2010-05-22 22:10:25","GYCJCG74P43E317Y","Lodgy","Sport"
"ZU596PW","2010-05-22 22:10:25","RLBRBL54C59I690Y","Lodgy","Sport"
"WF626LK","2010-05-22 22:10:25","BMPZVG79R45L487W","Lodgy","Sport"
"LB473GM","2010-05-22 22:10:25","LKDGXK54D05M153T","Lodgy","Sport"
"LO985TY","2010-05-22 22:10:25","QMTQMJ72S61M204I","Lodgy","Sport"
"GK904YW","2010-05-22 22:10:25","PFXYBC33H43F924E","Lodgy","Sport"
"KR886JZ","2010-05-22 22:10:25","HNZVVF28C65G028Y","Lodgy","Sport"
"IX623CD","2010-05-22 22:10:25","PDHHXR28T43A184X","Lodgy","Sport"
"NQ332GR","2010-05-22 22:10:25","BTQLHB34R61A975Q","Lodgy","Sport"
"EE274IJ","2010-05-22 22:10:25","KXFVCR98S55D168M","ModelY","Sport"
"BZ022JJ","2010-05-22 22:10:25","RLBRBL54C59I690Y","ModelY","Sport"
"RO316UU","2010-05-22 22:10:25","HSLMDN80P51B235Q","ModelY","Sport"
"AE167OR","2010-05-22 22:10:25","XTDKVG59D28F605E","ModelY","Sport"
"CE261PH","2010-05-22 22:10:25","RZRKLC70H07L772S","ModelY","Sport"
"HO783OW","2010-05-22 22:10:25","YRLSBX54D65Z345W","ModelY","Sport"
"OT607IP","2010-05-22 22:10:25","SBCGZR53B08A320F","ModelY","Sport"
"HV505SL","2010-05-22 22:10:25","ZVFRXE51C68I030E","ModelY","Sport"
"DV289KN","2010-05-22 22:10:25","FGPKTM32L25F250Y","ModelY","Sport"
"BH180YF","2010-05-22 22:10:25","KBWCYS71M09B985N","ModelY","Sport"
"DO473EY","2010-05-22 22:10:25","FGPKTM32L25F250Y","ModelY","Sport"
"VA367TY","2010-05-22 22:10:25","KXFVCR98S55D168M","ModelY","Sport"
"JY635VH","2010-05-22 22:10:25","NZVDZQ91M61M211F","ModelY","Sport"
"DW676PK","2010-05-22 22:10:25","DHAMJU58C68H445W","ModelY","Sport"
"MH613SZ","2010-05-22 22:10:25","PFXYBC33H43F924E","ModelY","Sport"
"RF482EP","2010-05-22 22:10:25","PFXYBC33H43F924E","ModelY","Sport"
"WK460ZL","2010-05-22 22:10:25","ZVFRXE51C68I030E","ModelY","Sport"
"FP226CW","2010-05-22 22:10:25","DHAMJU58C68H445W","ModelY","Sport"
"YJ153LN","2010-05-22 22:10:25","PFXYBC33H43F924E","ModelY","Sport"
"GF785VM","2010-05-22 22:10:25","XTDKVG59D28F605E","ModelY","Sport"
"LI654ZG","2010-05-22 22:10:25","BNFTNW47C31L775D","ModelY","Sport"
"LS854QL","2010-05-22 22:10:25","QQTDSH54P63L303M","ModelY","Sport"
"FS331GE","2010-05-22 22:10:25","LLYYHJ28P49B157X","ModelY","Sport"
"FG077JP","2010-05-22 22:10:25","QQTDSH54P63L303M","ModelY","Sport"
"YN123LO","2010-05-22 22:10:25","SBCGZR53B08A320F","ModelY","Sport"
"DL464OW","2010-05-22 22:10:25","LLYYHJ28P49B157X","ModelY","Sport"
"JZ278MT","2010-05-22 22:10:25","QMTQMJ72S61M204I","ModelY","Sport"
"WT924QT","2010-05-22 22:10:25","KXFVCR98S55D168M","ModelY","Sport"
"ZN131OG","2010-05-22 22:10:25","RRNHCT55M24F944G","ModelY","Sport"
"EU574HF","2010-05-22 22:10:25","BMPZVG79R45L487W","ModelY","Sport"
"RW799OD","2010-05-22 22:10:25","HCYBGQ39M54F035P","ModelY","Sport"
"KL085LF","2010-05-22 22:10:25","LKDGXK54D05M153T","ModelY","Sport"
"MS647BQ","2010-05-22 22:10:25","YRLSBX54D65Z345W","ModelY","Sport"
"XL613UW","2010-05-22 22:10:25","XTDKVG59D28F605E","ModelY","Sport"
"GU138GY","2010-05-22 22:10:25","ZVFRXE51C68I030E","ModelY","Sport"
"FX013HD","2010-05-22 22:10:25","MRRFPM58E29C803O","ModelY","Sport"
"DC789LE","2010-05-22 22:10:25","DKHTMG49H24I896S","ModelY","Sport"
"WX929BN","2010-05-22 22:10:25","YRLSBX54D65Z345W","ModelY","Sport"
"RM065QF","2010-05-22 22:10:25","FGPKTM32L25F250Y","ModelY","Sport"
"AI060OU","2010-05-22 22:10:25","VGVSZB98T64D915I","ModelY","Sport"
"FK471ZP","2010-05-22 22:10:25","BTQLHB34R61A975Q","ModelY","Sport"
"JB466PQ","2010-05-22 22:10:25","YRLSBX54D65Z345W","ModelY","Sport"
"YQ741NA","2010-05-22 22:10:25","YRLSBX54D65Z345W","ModelY","Sport"
"OU781HH","2010-05-22 22:10:25","GYCJCG74P43E317Y","ModelY","Sport"
"WY638LE","2010-05-22 22:10:25","DHAMJU58C68H445W","ModelY","Sport"
"TY688HB","2010-05-22 22:10:25","SBCGZR53B08A320F","ModelY","Sport"
"WD359OP","2010-05-22 22:10:25","BTQLHB34R61A975Q","ModelY","Sport"
"HC729DG","2010-05-22 22:10:25","HNZVVF28C65G028Y","ModelY","Sport"
"KD294LP","2010-05-22 22:10:25","QTPVZC86D08E615C","ModelY","Sport"
"UF326EC","2010-05-22 22:10:25","HCYBGQ39M54F035P","ModelY","Sport"
"GT668GX","2010-05-22 22:10:25","XTDKVG59D28F605E","ModelY","Sport"
"PS963QX","2010-05-22 22:10:25","BMPZVG79R45L487W","ModelY","Sport"
"ME636LT","2010-05-22 22:10:25","MRRFPM58E29C803O","ModelY","Sport"
"DZ908PR","2010-05-22 22:10:25","ZVFRXE51C68I030E","ModelY","Sport"
"IO765ET","2010-05-22 22:10:25","ZBRPQL35S52F939S","ModelY","Sport"
"FE138QO","2010-05-22 22:10:25","ZBRPQL35S52F939S","ModelY","Sport"
"GP828LE","2010-05-22 22:10:25","KBWCYS71M09B985N","ModelY","Sport"
"WZ978MO","2010-05-22 22:10:25","VFKNDG91H65C623X","ModelY","Sport"
"DP273VK","2010-05-22 22:10:25","VFKNDG91H65C623X","ModelY","Sport"
"QJ174BM","2010-05-22 22:10:25","DKHTMG49H24I896S","ModelY","Sport"
"QP088CF","2010-05-22 22:10:25","LLYYHJ28P49B157X","ModelY","Sport"
"ZZ397RE","2010-05-22 22:10:25","ZBRPQL35S52F939S","ModelY","Sport"
"RJ431YB","2010-05-22 22:10:25","XTDKVG59D28F605E","ModelY","Sport"
"WX294CZ","2010-05-22 22:10:25","FGPKTM32L25F250Y","ModelY","Sport"
"EI141AO","2010-05-22 22:10:25","RZRKLC70H07L772S","ModelY","Sport"
"EP273WE","2010-05-22 22:10:25","LLMSDV82R03B591I","ModelY","Sport"
"PE447NY","2010-05-22 22:10:25","DHAMJU58C68H445W","ModelY","Sport"
"ZQ025DY","2010-05-22 22:10:25","BMPZVG79R45L487W","ModelY","Sport"
"SY746LG","2010-05-22 22:10:25","NVNJPT84E20G913G","ModelY","Sport"
"HC566SG","2010-05-22 22:10:25","QTPVZC86D08E615C","ModelY","Sport"
"NT545LS","2010-05-22 22:10:25","VGVSZB98T64D915I","ModelY","Sport"
"ME817QO","2010-05-22 22:10:25","YRLSBX54D65Z345W","ModelY","Sport"
"KQ818OK","2010-05-22 22:10:25","VFKNDG91H65C623X","ModelY","Sport"
"WU527KO","2010-05-22 22:10:25","QTPVZC86D08E615C","ModelY","Sport"
"OE528FK","2010-05-22 22:10:25","PFXYBC33H43F924E","ModelY","Sport"
"EN836KY","2010-05-22 22:10:25","KBWCYS71M09B985N","ModelY","Sport"
"UJ615FH","2010-05-22 22:10:25","HNZVVF28C65G028Y","ModelY","Sport"
"UM507ZU","2010-05-22 22:10:25","NVNJPT84E20G913G","ModelY","Sport"
"TB599ON","2010-05-22 22:10:25","GZMVGD91H61E684W","ModelY","Sport"
"RY814LY","2010-05-22 22:10:25","HCYBGQ39M54F035P","ModelY","Sport"
"BR998SA","2010-05-22 22:10:25","HSLMDN80P51B235Q","ModelY","Sport"
"YM714WB","2010-05-22 22:10:25","LLYYHJ28P49B157X","ModelY","Sport"
"HQ911WK","2010-05-22 22:10:25","HSLMDN80P51B235Q","ModelY","Sport"
"JG255JW","2010-05-22 22:10:25","XTDKVG59D28F605E","ModelY","Sport"
"QZ376UX","2010-05-22 22:10:25","KBWCYS71M09B985N","ModelY","Sport"
"GA264IG","2010-05-22 22:10:25","GZMVGD91H61E684W","ModelY","Sport"
"EU408RU","2010-05-22 22:10:25","HCYBGQ39M54F035P","ModelY","Sport"
"ES851VG","2010-05-22 22:10:25","VFKNDG91H65C623X","ModelY","Sport"
"GX446XS","2010-05-22 22:10:25","QAUDCO74E20B457F","ModelY","Sport"
"LD532UG","2010-05-22 22:10:25","HNZVVF28C65G028Y","ModelY","Sport"
"PN214DA","2010-05-22 22:10:25","NZVDZQ91M61M211F","ModelY","Sport"
"UG936XC","2010-05-22 22:10:25","LKDGXK54D05M153T","ModelY","Sport"
"MO734UU","2010-05-22 22:10:25","DTBFGB99B22A760E","ModelY","Sport"
"LX882LD","2010-05-22 22:10:25","NZVDZQ91M61M211F","ModelY","Sport"
"JB883OL","2010-05-22 22:10:25","RRNHCT55M24F944G","ModelY","Sport"
"AC117MV","2010-05-22 22:10:25","FKWFNF92R22B522E","ModelY","Sport"
"SL325XP","2010-05-22 22:10:25","GYCJCG74P43E317Y","ModelY","Sport"
"KM715OB","2010-05-22 22:10:25","QQTDSH54P63L303M","ModelY","Sport"
"ZC455UM","2010-05-22 22:10:25","BTQLHB34R61A975Q","ModelY","Sport"
"RW975LB","2010-05-22 22:10:25","RLBRBL54C59I690Y","ModelY","Sport"
"OQ135EQ","2010-05-22 22:10:25","FGPKTM32L25F250Y","ModelY","Sport"
"UV197WR","2010-05-22 22:10:25","ZVFRXE51C68I030E","ModelY","Sport"
"VG917JN","2010-05-22 22:10:25","PPJTKR52S49G297K","ModelY","Sport"
"XB943UW","2010-05-22 22:10:25","YRLSBX54D65Z345W","ModelY","Sport"
"JN774VR","2010-05-22 22:10:25","ZBRPQL35S52F939S","ModelY","Sport"
"FY620ZL","2010-05-22 22:10:25","HSLMDN80P51B235Q","ModelY","Sport"
"CD064HI","2010-05-22 22:10:25","XTDKVG59D28F605E","ModelY","Sport"
"GG502BD","2010-05-22 22:10:25","VFKNDG91H65C623X","ModelY","Sport"
"RI161LK","2010-05-22 22:10:25","TPLFHK94L23C596M","ModelY","Sport"
"ZV760FT","2010-05-22 22:10:25","QTPVZC86D08E615C","ModelY","Sport"
"XH262NW","2010-05-22 22:10:25","FGPKTM32L25F250Y","ModelY","Sport"
"EP840DN","2010-05-22 22:10:25","FQBLTT43T45L271J","ModelY","Sport"
"BL048TJ","2010-05-22 22:10:25","RRNHCT55M24F944G","ModelY","Sport"
"CC033CI","2010-05-22 22:10:25","TPLFHK94L23C596M","ModelY","Sport"
"SP706XK","2010-05-22 22:10:25","DKHTMG49H24I896S","ModelY","Sport"
"KG368XW","2010-05-22 22:10:25","KBWCYS71M09B985N","ModelY","Sport"
"EK048FJ","2010-05-22 22:10:25","SBCGZR53B08A320F","ModelY","Sport"
"WI712QJ","2010-05-22 22:10:25","NVNJPT84E20G913G","ModelY","Sport"
"OK379KG","2010-05-22 22:10:25","QQTDSH54P63L303M","ModelY","Sport"
"PL056ZO","2010-05-22 22:10:25","DKHTMG49H24I896S","ModelY","Sport"
"PB172XX","2010-05-22 22:10:25","DTBFGB99B22A760E","ModelY","Sport"
"LI492MP","2010-05-22 22:10:25","LKDGXK54D05M153T","ModelY","Sport"
"YK232KI","2010-05-22 22:10:25","ZVFRXE51C68I030E","ModelY","Sport"
"MP619NC","2010-05-22 22:10:25","DHAMJU58C68H445W","ModelY","Sport"
"LC521AP","2010-05-22 22:10:25","SBCGZR53B08A320F","ModelY","Sport"
"IL979TU","2010-05-22 22:10:25","VGVSZB98T64D915I","ModelY","Sport"
"XY948FE","2010-05-22 22:10:25","KXFVCR98S55D168M","ModelY","Sport"
"ZH927DO","2010-05-22 22:10:25","VGVSZB98T64D915I","ModelY","Sport"
"CH870HV","2010-05-22 22:10:25","DKHTMG49H24I896S","ModelY","Sport"
"HX040UR","2010-05-22 22:10:25","DTBFGB99B22A760E","ModelY","Sport"
"IC713DV","2010-05-22 22:10:25","KBWCYS71M09B985N","ModelY","Sport"
"CT741CL","2010-05-22 22:10:25","XTDKVG59D28F605E","ModelY","Sport"
"AX941SK","2010-05-22 22:10:25","BMPZVG79R45L487W","ModelY","Sport"
"ZV383PP","2010-05-22 22:10:25","DKHTMG49H24I896S","ModelY","Sport"
"TJ641ZG","2010-05-22 22:10:25","YRLSBX54D65Z345W","ModelY","Sport"
"OZ639MV","2010-05-22 22:10:25","QMTQMJ72S61M204I","ModelY","Sport"
"GI640HR","2010-05-22 22:10:25","RLBRBL54C59I690Y","ModelY","Sport"
"RR770HN","2010-05-22 22:10:25","PFXYBC33H43F924E","ModelY","Sport"
"FR493BQ","2010-05-22 22:10:25","YRLSBX54D65Z345W","ModelY","Sport"
"AD120OR","2010-05-22 22:10:25","YRLSBX54D65Z345W","ModelY","Sport"
"YN751BC","2010-05-22 22:10:25","LLMSDV82R03B591I","ModelY","Sport"
"SN233LB","2010-05-22 22:10:25","RLBRBL54C59I690Y","ModelY","Sport"
"LN441UR","2010-05-22 22:10:25","DHAMJU58C68H445W","ModelY","Sport"
"ND313VC","2010-05-22 22:10:25","ZBRPQL35S52F939S","ModelY","Sport"
"DD621FX","2010-05-22 22:10:25","RLBRBL54C59I690Y","ModelY","Sport"
"ZG785UF","2010-05-22 22:10:25","QQTDSH54P63L303M","ModelY","Sport"
"JE122YI","2010-05-22 22:10:25","TPLFHK94L23C596M","Portofino","Performance"
"KZ222MN","2010-05-22 22:10:25","TPLFHK94L23C596M","Portofino","Performance"
"LH311HA","2010-05-22 22:10:25","PFXYBC33H43F924E","Portofino","Performance"
"YP600TU","2010-05-22 22:10:25","VGVSZB98T64D915I","Portofino","Performance"
"ZT803VD","2010-05-22 22:10:25","PPJTKR52S49G297K","Portofino","Performance"
"JG207QS","2010-05-22 22:10:25","DHAMJU58C68H445W","Portofino","Performance"
"YB432ZJ","2010-05-22 22:10:25","MRRFPM58E29C803O","Portofino","Performance"
"RZ914QX","2010-05-22 22:10:25","MRRFPM58E29C803O","Portofino","Performance"
"DH057LC","2010-05-22 22:10:25","PDHHXR28T43A184X","Portofino","Performance"
"XT506DU","2010-05-22 22:10:25","FQBLTT43T45L271J","Portofino","Performance"
"BF392ZV","2010-05-22 22:10:25","LKDGXK54D05M153T","Portofino","Performance"
"QF978ZO","2010-05-22 22:10:25","GZMVGD91H61E684W","Portofino","Performance"
"EV852ME","2010-05-22 22:10:25","PPJTKR52S49G297K","Portofino","Performance"
"ID054YJ","2010-05-22 22:10:25","NVNJPT84E20G913G","Portofino","Performance"
"WW920UH","2010-05-22 22:10:25","QTPVZC86D08E615C","Portofino","Performance"
"SS976PI","2010-05-22 22:10:25","PPJTKR52S49G297K","Portofino","Performance"
"NM933PS","2010-05-22 22:10:25","RZRKLC70H07L772S","Portofino","Performance"
"YD160QY","2010-05-22 22:10:25","RLBRBL54C59I690Y","Portofino","Performance"
"PW777TV","2010-05-22 22:10:25","VGVSZB98T64D915I","Portofino","Performance"
"YQ330GA","2010-05-22 22:10:25","PFXYBC33H43F924E","Portofino","Performance"
"AO086JB","2010-05-22 22:10:25","ZVFRXE51C68I030E","Portofino","Performance"
"SF525MH","2010-05-22 22:10:25","DTBFGB99B22A760E","Portofino","Performance"
"MN134UY","2010-05-22 22:10:25","QMTQMJ72S61M204I","Portofino","Performance"
"MP126TT","2010-05-22 22:10:25","YRLSBX54D65Z345W","Portofino","Performance"
